Geneid,tissue,betahat,sebetahat,NegativeProb,PositiveProb,lfsr,svalue,lfdr,qvalue,PosteriorMean,PosteriorSD
CG13397,body,0.00681988224757224,0.13008337149230223,0.13169240480163857,0.13795346168920308,0.8620465383107969,0.7513500295800871,0.7303541335091583,0.6434851255518452,5.829143021168014e-4,0.03804516342497095
CG11899,body,0.021052156104455766,0.11997088611158538,0.12183310239068212,0.14350000275386787,0.8564999972461321,0.7437480345862625,0.73466689485545,0.652200474219136,0.0019540541613575144,0.03671676441337597
Ahcy,body,0.300004683783724,0.05738470017683868,3.369978552807606e-6,0.999842619730209,1.5738026979099745e-4,2.013606788413494e-5,1.5401029123818984e-4,1.936967469431319e-5,0.2489164964454194,0.06443211023764432
Cp7Fa,body,-0.43131525365094703,0.19405823261775654,0.34427124427798206,0.0659322751296304,0.6557287557220179,0.44422136399761336,0.5897964805923875,0.39038427498448486,-0.04676743303133483,0.10774215593525412
Cp7Fb,body,-0.14387280718757411,0.16843963583820284,0.19704425649993784,0.10373094907723235,0.8029557435000622,0.6688953914496203,0.6992247944228298,0.5767089878999672,-0.01003567576236633,0.04815370153904168
Cp7Fc,body,-0.22445902855600752,0.18766830300783788,0.22245306846333257,0.09604688698083386,0.7775469315366674,0.6303350808376609,0.6815000445558336,0.5432731529443323,-0.014850684040208931,0.05610167761845654
Cyp4e2,body,-0.047455701214101254,0.09753568943395705,0.16179338677906474,0.09680984581065954,0.8382066132209353,0.7187221779062473,0.7413967674102757,0.6612347962364827,-0.005418030807956503,0.034322833090937546
His3.3A,body,-0.04281040910915612,0.10786983267628893,0.156958149568163,0.10569390471484319,0.843041850431837,0.7255671649000148,0.7373479457169938,0.656114812769683,-0.004453151901262116,0.03567299712371929
Mcm2,body,0.0056659595890220515,0.08925553571223162,0.11647173722244164,0.1248842696971666,0.8751157303028334,0.7622228707802371,0.7586439930803918,0.6735268974340928,6.571470648889942e-4,0.03042088384630955
Mlp84B,body,-0.27105729156003333,0.09874645731105201,0.6378614623327616,0.02084047341796036,0.36213853766723836,0.14379052126645953,0.341298064249278,0.13490892426818127,-0.0910040469982993,0.095223341700396
Mtk,body,0.046080473264710875,0.3061328600906563,0.1460719056700701,0.15671367516543455,0.8432863248345654,0.7258569378068823,0.6972144191644953,0.573520861861258,0.001386260138534473,0.053232395372609174
Ost48,body,0.07968383123481648,0.0851008563218987,0.07098253737744231,0.20827648915826313,0.7917235108417369,0.6518729130065681,0.7207409734642946,0.6202839655653565,0.011307524780232746,0.037160239943555363
Pglym78,body,0.1651858901473362,0.09224885988663518,0.045010895293352005,0.36432275681066895,0.635677243189331,0.4148397162371445,0.590666347895979,0.39160585107243534,0.03303216519244625,0.0588148482241111
Psi,body,-0.2127430293343121,0.11812495261671613,0.3386970620392161,0.05517139097325241,0.6613029379607839,0.455283750305976,0.6061315469875315,0.4171205231024121,-0.03217024338353308,0.06399304061086572
Roe1,body,0.05908692952060557,0.09630631382150655,0.09019476470615662,0.17348975930989108,0.8265102406901089,0.7027179249525691,0.7363154759839523,0.6545408902099054,0.006982738485356118,0.03527888806926436
Set,body,-0.1628180769859906,0.0754550451607951,0.4973438452185654,0.027360668902837337,0.5026561547814345,0.26131362072990066,0.4752954858785972,0.2479846945710751,-0.05017660317039721,0.06500873359513258
Hydr2,body,-0.08867416907267989,0.1148241287108959,0.1921778508763199,0.09091014283227439,0.8078221491236801,0.6765321446867353,0.7169120062914057,0.6125055258390288,-0.00934240653335226,0.040524973296754765
CG2846,body,0.07123999892827804,0.11677749669281222,0.09878674939307663,0.17688982193084601,0.823110178069154,0.6988627650691539,0.7243234286760774,0.6279221058638486,0.007137775864259573,0.0389862411313708
Ag5r,body,-0.04380348539786949,0.09767768776075889,0.1584398528999187,0.09876855768158799,0.8415601471000813,0.7236994524387269,0.7427915894184933,0.6627033406048694,-0.004963982478907373,0.03404333335332661
CCT3,body,0.00432576390621886,0.06369105073306529,0.09984636129366709,0.10881189399432023,0.8911881060056798,0.7653606045403673,0.7913417447120127,0.6797421235228662,5.719819286790321e-4,0.023187633237416887
CkIalpha,body,-0.011041869756504008,0.07062497362580376,0.12059299234022203,0.09966428385770554,0.879407007659778,0.7638662237717389,0.7797427238020724,0.6787630443607359,-0.0014303577793981735,0.025567123199497246
cype,body,0.05621770271993243,0.06723229602082179,0.06490219406148623,0.1872945744666289,0.8127054255333711,0.6839972364837856,0.7478032314718849,0.6673339089499868,0.00870264713853197,0.030545839686739944
Cyp9b2,body,0.3562359759819884,0.1492804096181434,0.04817106318181785,0.42445505823345253,0.5755449417665475,0.33091925088116725,0.5273738785847296,0.30019331125876714,0.058331035253728264,0.10244807762261322
eIF4E1,body,0.05100252565185692,0.061451523939193786,0.06143701333639606,0.18211310791015556,0.8178868920898444,0.6910519833613985,0.7564498787534484,0.6724926219550121,0.008105166670441933,0.028469317379767562
Fer2LCH,body,0.05896626355690904,0.05968485982869349,0.054623535088828556,0.2040936447916153,0.7959063552083847,0.6585543645349837,0.7412828201195562,0.661038047574032,0.010161561495922249,0.03030533587999023
Fer1HCH,body,0.048379742653292146,0.05641492517342832,0.057020343446949284,0.18125533020062845,0.8187446697993715,0.6925460756784906,0.7617243263524223,0.6747858882432607,0.007929683206224532,0.02697600398399375
glec,body,-0.04635585977297696,0.08585111074585046,0.16267217110654064,0.08848236166057799,0.8373278288934594,0.71738402480192065,0.7488454672328814,0.6680227938845471,-0.005824954247515491,0.03215944080550948
Hr78,body,-0.11528183114671686,0.12644083163121636,0.20621327302709003,0.08937945402499059,0.79378672697291,0.6556392297121213,0.7044072729479194,0.5865136995725356,-0.011389416440300717,0.04415052160990401
